mother,child
49.4,3.52
63.5,3.74
68,3.63
52.2,2.68
54.4,3.01
70.3,4.07
50.8,3.37
73.9,4.12
65.8,3.57
54.4,3.36
73.5,3.23
59,3.57
61.2,3.06
52.2,3.37
63.1,2.72
65.8,3.35
61.2,3.71
55.8,2.99
61.2,4.03
56.7,2.92
63.5,4.15
59,2.98
49.9,2.76
65.8,2.92
43.1,2.69
