certainty,guessed_right
6,1
6,0
8,0
7,0
8,1
6,0
6,0
5,0
4,1
10,1
4,1
8,1
6,0
5,1
6,0
4,0
6,0
10,1
6,0
6,1
10,0
8,0
5,1
5,0
4,1
6,0
6,0
8,1
4,0
5,0
5,1
7,0
5,0
8,0
3,1
4,0
5,1
4,1
5,0
7,0
4,1
6,0
4,1
3,0
3,1
5,1
5,1
3,1
1,1
7,1
