state,year,county,tract,tested,BLL_geq_5,BLL_geq_10
MD,2005,Anne Arundel,240037505.00,42,0,0
MD,2005,Anne Arundel,240037506.00,5,0,0
MD,2005,Anne Arundel,240037507.00,10,0,0
MD,2005,Anne Arundel,240037508.01,68,2,0
MD,2005,Anne Arundel,240037508.03,146,3,2
MD,2005,Anne Arundel,240037508.04,71,0,0
MD,2005,Anne Arundel,240037509.00,41,4,0
MD,2005,Anne Arundel,240037510.00,66,3,1
MD,2005,Anne Arundel,240037511.02,51,4,0
MD,2005,Anne Arundel,240037511.03,82,3,1
MD,2005,Baltimore,NA,1530,122,18
MD,2005,Baltimore,240054001.00,38,4,0
MD,2005,Baltimore,240054002.00,46,4,1
MD,2005,Baltimore,240054004.00,96,8,2
MD,2005,Baltimore,240054005.00,36,2,0
MD,2005,Baltimore,240054006.00,63,10,3
MD,2005,Baltimore,240054007.01,44,2,1
MD,2005,Baltimore,240054007.02,35,5,0
MD,2005,Baltimore,240054008.00,54,8,1
MD,2005,Baltimore,240054009.00,40,4,2
MD,2005,Baltimore,240054010.00,30,4,1
MD,2005,Baltimore,240054011.01,126,4,1
MD,2005,Baltimore,240054011.02,11,1,0
MD,2005,Baltimore,240054012.00,71,8,1
MD,2005,Baltimore,240054013.01,63,12,1
MD,2005,Baltimore,240054013.02,30,2,1
MD,2005,Baltimore,240054014.00,26,0,0
MD,2005,Baltimore,240054015.01,241,15,1
MD,2005,Baltimore,240054015.03,100,1,0
MD,2005,Baltimore,240054015.04,86,3,0
MD,2005,Baltimore,240054015.05,54,3,0
MD,2005,Baltimore,240054022.01,27,2,0
MD,2005,Baltimore,240054022.02,16,3,0
MD,2005,Baltimore,240054023.02,63,3,0
MD,2005,Baltimore,240054023.03,115,5,0
MD,2005,Baltimore,240054023.04,65,9,3
MD,2005,Baltimore,240054023.05,62,1,0
MD,2005,Baltimore,240054023.06,70,3,0
MD,2005,Baltimore,240054023.07,110,9,0
MD,2005,Baltimore,240054024.01,213,11,1
MD,2005,Baltimore,240054024.03,43,7,2
MD,2005,Baltimore,240054024.04,118,8,2
MD,2005,Baltimore,240054024.05,74,5,1
MD,2005,Baltimore,240054025.03,84,5,0
MD,2005,Baltimore,240054025.04,63,4,0
MD,2005,Baltimore,240054025.05,62,3,0
MD,2005,Baltimore,240054025.06,77,4,1
MD,2005,Baltimore,240054025.07,219,8,1
MD,2005,Baltimore,240054026.02,27,2,1
MD,2005,Baltimore,240054026.03,121,6,2
MD,2005,Baltimore,240054026.04,91,11,3
MD,2005,Baltimore,240054031.00,36,5,0
MD,2005,Baltimore,240054032.01,49,5,0
MD,2005,Baltimore,240054032.02,54,4,0
MD,2005,Baltimore,240054033.00,68,7,1
MD,2005,Baltimore,240054034.00,130,8,2
MD,2005,Baltimore,240054035.00,73,3,0
MD,2005,Baltimore,240054036.01,81,2,0
MD,2005,Baltimore,240054036.02,149,7,1
MD,2005,Baltimore,240054037.01,63,1,0
MD,2005,Baltimore,240054037.02,74,6,1
MD,2005,Baltimore,240054038.01,12,1,0
MD,2005,Baltimore,240054038.02,42,0,0
MD,2005,Baltimore,240054038.03,24,2,0
MD,2005,Baltimore,240054041.00,150,5,0
MD,2005,Baltimore,240054042.01,94,3,3
MD,2005,Baltimore,240054042.02,124,4,0
MD,2005,Baltimore,240054044.01,110,12,2
MD,2005,Baltimore,240054044.02,85,1,1
MD,2005,Baltimore,240054045.01,91,2,0
MD,2005,Baltimore,240054045.02,37,2,0
MD,2005,Baltimore,240054046.00,20,1,0
MD,2005,Baltimore,240054048.00,16,0,0
MD,2005,Baltimore,240054049.00,45,2,0
MD,2005,Baltimore,240054050.00,39,2,0
MD,2005,Baltimore,240054060.00,48,4,0
MD,2005,Baltimore,240054070.00,91,6,1
MD,2005,Baltimore,240054081.00,68,3,0
MD,2005,Baltimore,240054082.00,22,0,0
MD,2005,Baltimore,240054083.01,80,4,0
MD,2005,Baltimore,240054083.02,48,2,1
MD,2005,Baltimore,240054084.00,2,0,0
MD,2005,Baltimore,240054085.02,57,1,0
MD,2005,Baltimore,240054085.03,57,3,0
MD,2005,Baltimore,240054085.05,76,1,0
MD,2005,Baltimore,240054085.06,76,5,0
MD,2005,Baltimore,240054085.07,106,5,0
MD,2005,Baltimore,240054086.01,72,1,0
MD,2005,Baltimore,240054086.02,44,0,0
MD,2005,Baltimore,240054087.02,36,0,0
MD,2005,Baltimore,240054087.03,98,1,0
MD,2005,Baltimore,240054087.04,114,3,0
MD,2005,Baltimore,240054088.00,41,1,0
MD,2005,Baltimore,240054089.00,48,1,0
MD,2005,Baltimore,240054101.00,79,2,0
MD,2005,Baltimore,240054102.00,45,1,0
MD,2005,Baltimore,240054111.01,14,1,0
MD,2005,Baltimore,240054111.02,19,1,0
MD,2005,Baltimore,240054112.01,21,0,0
