kreiskey1871,county1871,rbkey,lat_rad,lon_rad,kmwittenberg,zupreussen,hhsize,gpop,f_prot,f_jew,f_rw,f_miss,f_young,f_fem,f_ortsgeb,f_pruss,f_blind,f_deaf,f_dumb,f_urban,lnpop,lnkmb,poland,latlon,f_over3km,f_mine,inctaxpc,perc_secB,perc_secC,perc_secBnC,lnyteacher,rhs,yteacher,pop,kmb,uni1517,reichsstadt,hansestadt,f_cath,sh_al_in_tot,ncloisters1517_pkm2,school1517,dnpop1500
1,Memel,1,97.23999786376953,36.88999938964844,703.280029296875,1525,4.6940693855285645,-0.7977591753005981,92.92683410644531,2.012223482131958,68.60692596435547,2.48575758934021,23.14771842956543,53.16130065917969,45.991634368896484,98.56678009033203,0.1393902599811554,0.1447514146566391,0.14296437799930573,33.96833419799805,10.932356834411621,6.423117160797119,0,35.8718376159668,15.283843040466309,2.470043420791626,197.7023162841797,18.83040428161621,12.379622459411621,31.210025787353516,677.7244873046875,0,877.6473388671875,55958.0078125,615.9200439453125,0,0,0,4.253190040588379,0.49700599908828735,0,0,0
2,Fischhausen,1,95.54000091552734,34.93000030517578,585.739990234375,1525,5.2617292404174805,-0.03395657613873482,98.280364990234375,0.3418041467666626,80.40287780761719,1.7386192083358765,24.170434951782227,50.78232955932617,38.260833740234375,99.90446472167969,0.08067426830530167,0.13799545168876648,0.15497951209545135,11.434515953063965,10.760091781616211,6.216207027435303,0,33.37212371826172,7.147027969360352,2.330195665359497,134.35012817382812,17.317276000976562,5.98929500579834,23.306570053100586,661.99761962890625,0,749.92724609375,47102.9921875,500.80010986328125,0,0,0,0.7642825245857239,0.5,0.0018843569559976459,0,0
3,Stadt Königsberg,1,95.4800033569336,35.790000915527344,611.41998291015625,1525,4.6453375816345215,5.452698230743408,92.72205352783203,3.4221887588500977,90.05104064941406,0.3097025454044342,18.479463577270508,52.53095626831055,47.129146575927734,99.17388916015625,0.14809264242649078,0.1427398920059204,0.10794703662395477,100,11.6270751953125,6.268110752105713,0,34.17229080200195,0.03983799368143082,0.04318029806017876,NA,29.99637794494629,16.673166275024414,46.6695442199707,712.88897705078125,1,1247.4912109375,112091.9921875,527.47991943359375,0,0,1,3.3659849166870117,1,0.1469147950410843,1,0.004407443571835756
4,Landkreis Königsberg,1,95.4800033569336,35.790000915527344,611.41998291015625,1525,5.365902423858643,-1.1703457832336426,99.350860595703125,0.14932183921337128,75.260162353515625,2.5656826496124268,25.957111358642578,51.66328048706055,33.56837463378906,99.92533874511719,0.08088266104459763,0.16176532208919525,0.221908837556839,0,10.783487319946289,6.268110752105713,0,34.17229080200195,3.039965867996216,0.1010909378528595,128.88169860839844,14.182215690612793,3.7108798027038574,17.893096923828125,666.63360595703125,1,785.51226806640625,48217.984375,527.47991943359375,0,0,1,0.37123066186904907,0.45084744691848755,0,0,0
5,Labiau,1,95.75,36.849998474121094,653.8900146484375,1525,4.982987403869629,0.40620601177215576,99.14350891113281,0.47758129239082336,68.22769927978516,1.2741546630859375,25.34535789489746,52.433292388916016,47.21147537231445,99.97237396240234,0.18353331089019775,0.26049888134002686,0.2269497811794281,8.562914848327637,10.833128929138184,6.345706462860107,0,35.283870697021484,4.296917915344238,0,93.7127456665039,12.36777114868164,3.667459011077881,16.03523063659668,662.2576904296875,0,751.880126953125,50672.0078125,570.03997802734375,0,0,0,0.2151089310646057,0.4488188922405243,9.403356816619635e-4,0,0
6,Wehlau,1,95.38999938964844,36.790000915527344,641.92999267578125,1525,4.949721813201904,-2.367549419403076,99.03209686279297,0.3621830940246582,76.71490478515625,2.4351537227630615,23.92490005493164,51.97743606567383,37.53799057006836,99.93547058105469,0.12072769552469254,0.1810915470123291,0.8492569327354431,21.5186710357666,10.779830932617188,6.3265252113342285,0,35.0939826965332,5.54802131652832,0.045798029750585556,119.41380310058594,17.096405029296875,4.396611213684082,21.49301528930664,663.9910888671875,0,765.02679443359375,48042,559.2100830078125,0,0,0,0.48499229550361633,0.5116279125213623,0,0,0
7,Gerdauen,1,94.8800048828125,37.209999084472656,643.1400146484375,1525,4.988907814025879,0.314877986907959,99.50301361083984,0.28511640429496765,79.18462371826172,2.4511706829071045,25.94036102294922,52.08736801147461,42.28092956542969,99.87444305419922,0.11247710883617401,0.1517133116722107,0.20402826368808746,14.969919204711914,10.551375389099121,6.332764625549316,0,35.304847717285156,4.730521202087402,0.012790994718670845,107.9715347290039,13.36659049987793,2.545408010482788,15.91199779510498,666.62298583984375,0,785.4288330078125,38229.984375,562.71014404296875,0,0,0,0.20141249895095825,0.5093167424201965,0.0011806932743638754,0,0
8,Rastenburg,1,94.37999725341797,37.29999923706055,635.0999755859375,1525,5.0250678062438965,0.16735021770000458,95.53379821777344,0.41414690017700195,78.084625244140625,1.442037582397461,24.611148834228516,53.04374694824219,42.12062072753906,99.90587615966797,0.1294209063053131,0.1458926498889923,0.19295479357242584,22.147445678710938,10.657188415527344,6.3223137855529785,0,35.203739166259766,3.7690775394439697,0.0883621796965599,133.716064453125,16.87717628479004,3.6124539375305176,20.4896297454834,670.14923095703125,0,813.61907958984375,42496.984375,556.8599853515625,0,0,0,3.9649858474731445,0.40361446142196655,0.001143053057603538,0,0
9,Friedland,1,95.029998779296875,36.66999816894531,628.32000732421875,1525,5.063004493713379,-0.7003769874572754,98.3265609741211,0.42903032898902893,81.48747253417969,4.58078670501709,24.28850555419922,51.398277282714844,40.6702766418457,99.95282745361328,0.1190502867102623,0.1954221874475479,0.11680405586957932,32.77926254272461,10.7036714553833,6.30411958694458,0,34.84749984741211,8.300944328308105,0.09613998234272003,129.86000061035156,16.886987686157227,3.451425313949585,20.33841323852539,668.72723388671875,0,802.13134765625,44519.00390625,546.8199462890625,0,0,0,0.7390103340148926,0.46927374601364136,0.002269735326990485,0,0
10,Preussisch Eylau,1,94.93000030517578,36.040000915527344,604.52001953125,1525,5.069620132446289,-1.0827934741973877,97.55378723144531,0.264162540435791,79.11824035644531,2.2978122234344482,25.90421485900879,52.3548469543457,44.98724365234375,99.93848419189453,0.08322929590940475,0.12484394013881683,0.22073855996131897,15.366661071777344,10.919967651367188,6.259237289428711,0,34.212772369384766,1.9847177267074585,0.04566020518541336,127.40621948242188,13.145987510681152,2.615084409713745,15.761073112487793,669.3280029296875,0,806.96478271484375,55269.01171875,522.82000732421875,0,0,0,1.1615915298461914,0.46963563561439514,8.117146790027618e-4,0,0
