birth year,year,ranking,order,age,belgium,ussr,usa,female,critics,bll,gccd,presen
1963,1987,5,2,24,0,0,0,1,10,3,0,1
1959,1987,6,12,28,0,0,0,1,6,1,1,2
1960,1987,7,6,27,0,0,0,1,1,0,0,0
1961,1987,8,3,26,0,0,0,1,2,3,1,2
1960,1987,9,10,27,0,0,0,0,9,18,1,2
1962,1987,10,9,25,0,0,0,0,1,3,4,3
1958,1987,11,4,29,0,0,0,0,3,0,0,0
1961,1987,12,1,26,0,0,0,0,5,2,4,2
1968,1991,1,10,23,0,0,0,0,24,5,1,2
1960,1991,2,11,31,0,0,1,0,11,3,0,1
1960,1991,3,9,31,0,0,1,0,14,6,6,3
1965,1991,4,6,26,0,0,0,1,10,2,0,1
1973,1991,5,3,18,0,1,0,0,18,3,2,3
1967,1991,6,5,24,0,0,0,0,7,5,0,1
1961,1991,7,8,30,0,0,0,1,0,1,0,1
1967,1991,8,2,24,0,1,0,0,2,1,0,1
1966,1991,9,12,25,0,0,0,0,2,4,2,2
1961,1991,10,1,30,0,1,0,0,5,1,3,2
1962,1991,11,4,29,0,0,0,1,0,1,0,1
1966,1991,12,7,25,1,0,0,0,18,10,0,1
,,,,,,,,,,,,
,,,,,,,,Means,13.64,10.85,6.48,1.64
